 340 | 02/14/2023 | 12:38:12 AM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 341 | 02/14/2023 | 12:38:18 AM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 342 | 02/14/2023 | 12:38:18 AM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 343 | 02/22/2023 | 02:13:03 AM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 344 | 02/22/2023 | 02:13:03 AM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 345 | 02/22/2023 | 02:13:10 AM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 346 | 02/22/2023 | 02:13:10 AM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 347 | 03/09/2023 | 01:50:30 AM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 348 | 03/09/2023 | 01:50:30 AM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 349 | 03/09/2023 | 01:50:37 AM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 34a | 03/09/2023 | 01:50:37 AM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 34b | 03/11/2023 | 11:52:46 AM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 34c | 03/11/2023 | 11:52:46 AM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 34d | 03/11/2023 | 11:52:52 AM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 34e | 03/11/2023 | 11:52:52 AM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 34f | 03/15/2023 | 07:19:55 AM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 350 | 03/15/2023 | 07:19:55 AM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 351 | 03/15/2023 | 07:20:01 AM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 352 | 03/15/2023 | 07:20:01 AM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 353 | 03/17/2023 | 03:56:32 AM UTC | Power Unit #0xff | Power off/down | Asserted
 354 | 03/17/2023 | 03:58:19 AM UTC | System Event | OEM System boot event | Asserted
 355 | 03/17/2023 | 03:59:25 AM UTC | System Event | OEM System boot event | Asserted
 356 | 03/17/2023 | 03:59:44 AM UTC | System Event | Timestamp Clock Sync | Asserted
 357 | 03/17/2023 | 03:59:44 AM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
 358 | 03/17/2023 | 04:00:57 AM UTC | System Event #0xff | Timestamp Clock Sync | Asserted
 359 | 03/17/2023 | 04:00:58 AM UTC | System Event | Timestamp Clock Sync | Asserted
 35a | 03/17/2023 | 04:05:40 AM UTC | OS Boot #0x22 | boot completed - device not specified | Asserted
 35b | 03/17/2023 | 04:59:19 AM UTC | System Event | OEM System boot event | Asserted
 35c | 03/17/2023 | 05:00:40 AM UTC | OS Boot #0x22 | boot completed - device not specified | Asserted
 35d | 03/21/2023 | 01:19:38 PM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 35e | 03/21/2023 | 01:19:38 PM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 35f | 03/21/2023 | 01:19:41 PM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 360 | 03/21/2023 | 01:19:41 PM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 361 | 03/22/2023 | 07:15:34 PM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 362 | 03/22/2023 | 07:15:34 PM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 363 | 03/22/2023 | 07:15:40 PM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 364 | 03/22/2023 | 07:15:40 PM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 365 | 03/24/2023 | 09:18:57 AM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 366 | 03/24/2023 | 09:18:57 AM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 367 | 03/24/2023 | 09:19:03 AM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 368 | 03/24/2023 | 09:19:03 AM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 369 | 03/24/2023 | 04:26:43 PM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 36a | 03/24/2023 | 04:26:43 PM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 36b | 03/24/2023 | 04:26:45 PM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
 36c | 03/24/2023 | 04:26:46 PM UTC | Temperature #0x10 | Upper Non-critical going high | Deasserted
 36d | 03/24/2023 | 05:01:32 PM UTC | Temperature #0x10 | Upper Non-critical going high | Asserted
 36e | 03/24/2023 | 05:01:32 PM UTC | Temperature #0x10 | Upper Critical going high | Asserted
 36f | 03/24/2023 | 05:01:39 PM UTC | Temperature #0x10 | Upper Critical going high | Deasserted
